Submission Time,Full name,Marital status,Gender,Religion,Date of birth,Current address,Highest formal of education,Faculty/Major,School/University name,Email address,WhatsApp number,Desired positions,Current status,Experience,Applied date,Portfolio (2MB),Upload CV (2MB),Portfolio link,Expected salary (IDR),Where did you find this job?,Consent,Skills
"Jun 11, 2025 @ 06:43 PM",Mulyono Prasasta,Married,Male,Hindu,06/28/1994,"Jl. Sadang Serang No. 579, Bukittinggi, Kalimantan Utara 09208",SMA/SMK,Sistem Komputer,Universitas Gadjah Mada,ardiantoprakosa@hotmail.com,204748848619,Backend Developer,Intern,3-5 years,05/14/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7435461,LinkedIn,checked,"['Python', 'HTML', 'Networking']"
"Jan 23, 2025 @ 06:35 PM",Wahyu Maulana,Married,Female,Moslem,05/26/1994,"Gang M.H Thamrin No. 259, Bitung, Nusa Tenggara Timur 10018",S2,Sistem Informasi,Universitas Bina Nusantara,bakiman85@gmail.com,173164862020,IT Support,Intern,1-3 years,05/13/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://cv.desa.id/,4028202,Instagram,checked,"['Azure', 'React', 'Figma', 'GCP', 'Python', 'Linux']"
"Apr 12, 2025 @ 09:22 PM",Najwa Kuswoyo,Married,Male,Hindu,12/23/1993,"Jl. KH Amin Jasuta No. 1, Tebingtinggi, Lampung 65412",D3,Informatics,Universitas Terbuka,prabowokenes@hotmail.com,851661929692,Backend Developer,Fulltime,More than 5 years,06/08/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8369510,Instagram,checked,"['Docker', 'Node.js', 'GCP', 'HTML']"
"Jan 14, 2025 @ 02:06 AM",Narji Wahyudin,Single,Male,Catholic,02/18/1992,"Gang Rajawali Timur No. 674, Pekalongan, KU 26792",S1/D4,Manajemen Informatika,Universitas Terbuka,wulan17@yahoo.com,929001989275,Frontend Developer,Unemployed,More than 5 years,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7566182,Indeed,checked,"['AWS', 'Networking', 'Kubernetes', 'Azure', 'HTML', 'CSS']"
"May 22, 2025 @ 12:46 AM",dr. Dimaz Sinaga,Married,Female,Moslem,02/27/1999,"Gg. Sukajadi No. 98, Kota Administrasi Jakarta Barat, Maluku 35573",S2,Teknik Komputer,Universitas Bina Nusantara,ilyas91@hotmail.com,985406709911,Backend Developer,Unemployed,1-3 years,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9000505,Telegram Group,checked,"['Networking', 'AWS', 'Linux', 'Figma']"
"Jan 22, 2025 @ 12:52 PM",Darmaji Sitorus,Single,Female,Hindu,06/15/1994,"Jl. Indragiri No. 356, Lhokseumawe, Sumatera Selatan 57954",D3,Sistem Informasi,Universitas Gunadarma,digdaya17@gmail.com,331786672038,DevOps Engineer,Intern,3-5 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.pt.or.id/,6556455,LinkedIn,checked,"['Python', 'Figma', 'SQL', 'AWS']"
"Jan 20, 2025 @ 12:36 AM",dr. Betania Tampubolon,Single,Female,Christian,03/07/2002,"Gg. Raya Setiabudhi No. 16, Pagaralam, JA 66239",S1/D4,Sistem Komputer,Universitas Gadjah Mada,asmianto93@pd.ac.id,722507759845,Data Analyst,Intern,Fresh graduate,05/27/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4631603,Glints,checked,"['GCP', 'Node.js', 'AWS', 'Docker', 'Azure']"
"Mar 13, 2025 @ 07:29 AM",Paulin Prakasa,Married,Male,Hindu,09/15/1994,"Jl. Asia Afrika No. 474, Meulaboh, Gorontalo 43249",D3,Manajemen Informatika,Universitas Bina Nusantara,zkurniawan@ud.web.id,324009045057,Backend Developer,Freelancer,More than 5 years,05/14/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5491449,Website,checked,"['JavaScript', 'Figma', 'Kubernetes', 'AWS']"
"Jan 15, 2025 @ 11:22 AM","Drs. Jaeman Sitorus, S.E.",Single,Male,Hindu,01/16/1990,"Gang Gardujati No. 6, Denpasar, JT 70680",D3,Informatics,Institut Teknologi Bandung,cakrajiyahandayani@hotmail.com,609887980735,Frontend Developer,Freelancer,3-5 years,06/09/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7629324,Website,checked,"['HTML', 'GCP', 'Figma', 'Node.js']"
"May 07, 2025 @ 03:19 PM",Garan Pangestu,Married,Male,Buddhist,06/13/2002,"Jl. Ronggowarsito No. 9, Solok, Papua Barat 08368",S2,Informatics,Universitas Indonesia,grajata@hotmail.com,375843521670,Backend Developer,Freelancer,Fresh graduate,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://perum.ponpes.id/,8641254,LinkedIn,checked,"['Kubernetes', 'React', 'HTML']"
"Jan 28, 2025 @ 07:09 PM",Salsabila Waluyo,Single,Female,Catholic,08/27/1992,"Gang Suniaraja No. 719, Gorontalo, Jawa Barat 85093",S2,Informatics,Institut Teknologi Bandung,halim23@pt.int,465876137811,Data Analyst,Freelancer,1-3 years,05/22/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5567545,Telegram Group,checked,"['Python', 'GCP', 'SQL', 'Networking', 'Docker', 'AWS']"
"Mar 09, 2025 @ 09:15 AM",Wakiman Palastri,Married,Female,Moslem,09/07/1992,"Gg. Moch. Ramdan No. 41, Kediri, Nusa Tenggara Barat 39642",D3,Teknik Informatika,Universitas Indonesia,rahmatmegantara@cv.sch.id,339722475540,UI/UX Designer,Fulltime,3-5 years,05/31/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://www.cv.sch.id/,4860729,Website,checked,"['Docker', 'AWS', 'JavaScript', 'Figma', 'Python', 'Kubernetes']"
"May 03, 2025 @ 10:54 PM","Dt. Prabowo Januar, S.I.Kom",Single,Male,Buddhist,11/19/1999,"Jl. Pasirkoja No. 664, Palu, Sulawesi Selatan 38297",S2,Teknik Komputer,Universitas Bina Nusantara,firmansyahellis@ud.net.id,664220773724,Frontend Developer,Freelancer,1-3 years,06/02/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4749943,Website,checked,"['Python', 'CSS', 'React', 'Figma', 'Docker']"
"Feb 22, 2025 @ 05:16 AM",Jagaraga Wasita,Married,Male,Catholic,08/24/1993,"Gg. Monginsidi No. 455, Tanjungbalai, Sulawesi Barat 50602",S1/D4,Informatics,Universitas Gunadarma,galakmaryadi@cv.co.id,044182706165,Frontend Developer,Fulltime,3-5 years,06/05/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4081537,Glints,checked,"['Azure', 'Python', 'React', 'HTML', 'SQL', 'AWS']"
"Jan 12, 2025 @ 04:00 PM",Emil Pradana,Single,Female,Buddhist,05/28/2002,"Gg. Setiabudhi No. 454, Makassar, Papua 58669",D3,Teknik Komputer,Universitas Indonesia,marsitokurniawan@hotmail.com,960763151486,Backend Developer,Fulltime,1-3 years,05/19/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://cv.int/,5868936,LinkedIn,checked,"['Node.js', 'Python', 'React', 'Figma', 'HTML']"
"May 12, 2025 @ 11:28 PM",Tgk. Karsa Manullang,Single,Female,Buddhist,09/29/2002,"Jalan Laswi No. 991, Pangkalpinang, Kalimantan Tengah 34277",S2,Sistem Komputer,Universitas Indonesia,gilda08@pd.org,985957825548,UI/UX Designer,Unemployed,3-5 years,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6417029,Telegram Group,checked,"['GCP', 'Azure', 'SQL', 'AWS']"
"Apr 08, 2025 @ 02:17 PM",Damar Wahyuni,Married,Male,Moslem,01/25/1990,"Gg. PHH. Mustofa No. 067, Madiun, Bali 66165",SMA/SMK,Manajemen Informatika,Universitas Bina Nusantara,citra98@gmail.com,065197553372,Frontend Developer,Intern,Fresh graduate,05/28/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.perum.ponpes.id/,8123920,Indeed,checked,"['Node.js', 'Networking', 'Linux', 'Azure', 'Python']"
"Feb 24, 2025 @ 01:57 AM",Adinata Permadi,Single,Male,Buddhist,07/22/1989,"Jl. Laswi No. 0, Kota Administrasi Jakarta Barat, MA 59987",S2,Teknik Komputer,Institut Teknologi Bandung,sitorussalman@gmail.com,256743397212,IT Support,Fulltime,Fresh graduate,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5916806,Telegram Group,checked,"['CSS', 'Kubernetes', 'Figma', 'Python', 'GCP']"
"May 26, 2025 @ 07:15 PM",Endah Susanti,Single,Male,Hindu,06/09/1991,"Gg. Veteran No. 084, Bitung, YO 34919",S2,Teknik Komputer,Universitas Indonesia,lega36@perum.com,044265936529,Frontend Developer,Fulltime,3-5 years,06/07/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4075641,LinkedIn,checked,"['Docker', 'Kubernetes', 'Node.js', 'Networking', 'JavaScript']"
"May 29, 2025 @ 06:35 PM",Mahesa Saragih,Married,Female,Catholic,07/12/1992,"Gg. Soekarno Hatta No. 36, Sungai Penuh, Kalimantan Tengah 88299",S2,Sistem Komputer,Universitas Gadjah Mada,bancarhastuti@perum.int,364003519778,Data Analyst,Unemployed,3-5 years,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7853803,Telegram Group,checked,"['React', 'SQL', 'JavaScript', 'CSS']"
"Feb 09, 2025 @ 11:52 PM","Dr. Zulaikha Haryanto, S.I.Kom",Single,Male,Hindu,04/24/2001,"Jalan Laswi No. 797, Cirebon, Sumatera Utara 84303",S2,Teknik Komputer,Universitas Gadjah Mada,bnugroho@pt.gov,144572908378,Data Analyst,Fulltime,More than 5 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7809764,LinkedIn,checked,"['React', 'JavaScript', 'Linux']"
"Jan 01, 2025 @ 01:40 PM","Galar Hutasoit, S.I.Kom",Married,Female,Catholic,03/23/1995,"Jalan Suniaraja No. 00, Tomohon, DI Yogyakarta 52933",S1/D4,Teknik Informatika,Institut Teknologi Bandung,caket15@gmail.com,853527860174,DevOps Engineer,Freelancer,More than 5 years,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6292234,Website,checked,"['Kubernetes', 'Azure', 'Linux']"
"Jun 06, 2025 @ 05:20 AM",Puti Oktaviani,Married,Male,Buddhist,02/05/2003,"Jalan Rajiman No. 65, Metro, Riau 92043",SMA/SMK,Sistem Komputer,Institut Teknologi Bandung,lnajmudin@pd.my.id,650565285648,Backend Developer,Intern,3-5 years,06/11/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5339339,Instagram,checked,"['Node.js', 'AWS', 'Linux', 'JavaScript', 'SQL', 'Python']"
"Apr 01, 2025 @ 11:46 PM",Cinthia Gunawan,Single,Male,Catholic,03/15/1994,"Jl. Merdeka No. 0, Yogyakarta, Kalimantan Timur 43583",S2,Manajemen Informatika,Universitas Terbuka,gprabowo@hotmail.com,998940087488,Backend Developer,Freelancer,3-5 years,06/09/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://www.ud.mil/,5553183,Website,checked,"['Python', 'Networking', 'Docker', 'Node.js']"
"May 25, 2025 @ 09:25 PM",Warsa Utama,Married,Female,Hindu,05/01/2004,"Gang Pasir Koja No. 981, Tanjungpinang, ST 00028",S2,Informatics,Universitas Gadjah Mada,prayogo97@pd.desa.id,902106694006,Backend Developer,Intern,More than 5 years,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9660793,Glints,checked,"['Node.js', 'CSS', 'Networking']"
"Mar 25, 2025 @ 06:15 AM","Raina Palastri, S.Psi",Single,Female,Christian,02/20/1993,"Jl. KH Amin Jasuta No. 565, Meulaboh, SB 28570",D3,Teknik Informatika,Institut Teknologi Bandung,pratiwiuli@pd.com,253301931371,UI/UX Designer,Intern,More than 5 years,05/15/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9756048,LinkedIn,checked,"['React', 'CSS', 'Figma']"
"Mar 04, 2025 @ 05:12 AM",Ega Dongoran,Single,Male,Christian,07/08/1997,"Jl. Raya Setiabudhi No. 552, Tasikmalaya, Jawa Timur 26093",S1/D4,Sistem Informasi,Universitas Gunadarma,qwijaya@pd.mil.id,608933786412,Data Analyst,Unemployed,More than 5 years,05/16/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9941724,LinkedIn,checked,"['GCP', 'Docker', 'JavaScript']"
"Jan 03, 2025 @ 10:58 AM",Ir. Pardi Sitorus,Married,Male,Buddhist,03/11/2003,"Gang Wonoayu No. 224, Kota Administrasi Jakarta Pusat, Nusa Tenggara Barat 70954",S1/D4,Manajemen Informatika,Universitas Terbuka,ghaliyatimarpaung@pt.or.id,451504833982,UI/UX Designer,Intern,Fresh graduate,06/03/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8783455,Glints,checked,"['Kubernetes', 'GCP', 'Docker', 'Python']"
"May 24, 2025 @ 05:51 PM",Dr. Tania Widiastuti,Single,Male,Hindu,12/26/2000,"Gang Waringin No. 410, Samarinda, Nusa Tenggara Timur 42485",S1/D4,Teknik Komputer,Universitas Gadjah Mada,nnainggolan@ud.net,699084522345,Frontend Developer,Intern,More than 5 years,05/19/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7614250,Website,checked,"['Python', 'SQL', 'GCP', 'Node.js', 'Kubernetes']"
"Apr 16, 2025 @ 06:46 AM",Dacin Uyainah,Married,Male,Hindu,09/11/1992,"Gg. Cikutra Timur No. 516, Magelang, MA 03706",S2,Informatics,Universitas Gunadarma,purwantolaksita@perum.int,670194795049,Frontend Developer,Freelancer,More than 5 years,06/05/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9622130,LinkedIn,checked,"['Networking', 'Python', 'Kubernetes', 'HTML', 'Node.js']"
"Mar 16, 2025 @ 04:17 AM","R. Titi Halimah, M.Pd",Married,Female,Hindu,04/29/1997,"Gang Laswi No. 58, Blitar, Jawa Timur 47036",S2,Informatics,Universitas Terbuka,taswir05@cv.mil,531226724996,UI/UX Designer,Unemployed,3-5 years,05/22/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6993156,Website,checked,"['Docker', 'Azure', 'JavaScript']"
"Feb 23, 2025 @ 04:20 PM","Cahyono Utama, S.T.",Married,Male,Buddhist,11/02/1991,"Jl. S. Parman No. 0, Tanjungbalai, DI Yogyakarta 56520",D3,Sistem Komputer,Institut Teknologi Bandung,llaksita@cv.web.id,985732638198,DevOps Engineer,Freelancer,3-5 years,06/05/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7578315,Indeed,checked,"['CSS', 'Azure', 'Linux', 'GCP', 'Networking', 'AWS']"
"Feb 17, 2025 @ 04:44 AM","drg. Tania Dongoran, M.Ak",Married,Female,Catholic,03/05/2004,"Gg. Gedebage Selatan No. 18, Batu, Kalimantan Barat 37637",S2,Sistem Informasi,Universitas Bina Nusantara,jasmaninainggolan@hotmail.com,253465537181,DevOps Engineer,Freelancer,Fresh graduate,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8746504,Glints,checked,"['Azure', 'Python', 'CSS', 'GCP']"
"Mar 19, 2025 @ 03:32 AM",Kasiran Kusmawati,Married,Male,Moslem,07/03/1994,"Gg. Wonoayu No. 8, Pekanbaru, Gorontalo 19324",S2,Sistem Komputer,Institut Teknologi Bandung,oktavianihasna@hotmail.com,138989312907,IT Support,Fulltime,Fresh graduate,05/20/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://www.perum.my.id/,4056920,Indeed,checked,"['Python', 'Azure', 'Linux', 'CSS', 'GCP', 'HTML']"
"Mar 07, 2025 @ 06:24 PM","Omar Rahmawati, M.M.",Single,Female,Moslem,05/14/1996,"Jl. Moch. Ramdan No. 446, Cilegon, Kalimantan Utara 31645",D3,Informatics,Universitas Bina Nusantara,putipertiwi@cv.mil.id,962095807001,Backend Developer,Unemployed,1-3 years,05/19/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://www.pd.edu/,8965405,LinkedIn,checked,"['JavaScript', 'Node.js', 'Kubernetes', 'HTML']"
"May 15, 2025 @ 09:24 PM",Tri Natsir,Married,Male,Christian,12/19/1990,"Gg. PHH. Mustofa No. 58, Padang, GO 42134",D3,Informatics,Universitas Bina Nusantara,omansuryono@hotmail.com,083666779030,UI/UX Designer,Unemployed,3-5 years,06/03/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9589967,LinkedIn,checked,"['Docker', 'AWS', 'React', 'Azure', 'GCP']"
"Apr 24, 2025 @ 06:51 AM","Sari Safitri, S.Kom",Single,Female,Moslem,06/27/1999,"Jalan HOS. Cokroaminoto No. 838, Metro, Jawa Tengah 93763",S1/D4,Teknik Komputer,Universitas Indonesia,ggunawan@cv.net.id,076870257077,Backend Developer,Intern,Fresh graduate,06/04/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,5162503,Indeed,checked,"['SQL', 'Python', 'Node.js']"
"Apr 13, 2025 @ 03:28 PM",Emong Mahendra,Single,Female,Hindu,06/07/2000,"Jalan Peta No. 8, Bekasi, Kalimantan Tengah 86195",SMA/SMK,Teknik Informatika,Universitas Indonesia,carla47@perum.edu,590485405332,DevOps Engineer,Intern,Fresh graduate,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7375250,Indeed,checked,"['Azure', 'Node.js', 'CSS', 'AWS', 'SQL', 'HTML']"
"Feb 17, 2025 @ 10:07 AM",Ira Agustina,Single,Male,Buddhist,10/23/2000,"Gg. Laswi No. 34, Samarinda, Aceh 53011",S1/D4,Sistem Informasi,Universitas Terbuka,mpermadi@pd.int,770345772106,DevOps Engineer,Fulltime,3-5 years,06/10/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6044838,Website,checked,"['CSS', 'Docker', 'Azure', 'AWS', 'HTML']"
"Apr 18, 2025 @ 04:02 PM",Tasdik Palastri,Married,Female,Hindu,08/30/1990,"Gang Peta No. 155, Kota Administrasi Jakarta Timur, ST 11395",SMA/SMK,Manajemen Informatika,Universitas Terbuka,asmadiastuti@cv.edu,771038516153,Backend Developer,Intern,Fresh graduate,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8049659,LinkedIn,checked,"['Networking', 'HTML', 'Figma', 'AWS', 'GCP']"
"Jan 19, 2025 @ 06:14 PM",Dt. Heru Damanik,Single,Male,Catholic,06/15/1993,"Gang Bangka Raya No. 62, Meulaboh, Aceh 32206",S1/D4,Teknik Informatika,Universitas Indonesia,sprasetya@yahoo.com,128227777639,UI/UX Designer,Unemployed,More than 5 years,06/04/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6499478,Instagram,checked,"['Networking', 'Figma', 'Azure', 'HTML', 'Docker']"
"May 12, 2025 @ 04:51 PM",Maya Wijaya,Single,Female,Hindu,03/19/1990,"Jl. Antapani Lama No. 53, Pangkalpinang, Lampung 14298",SMA/SMK,Teknik Komputer,Universitas Gadjah Mada,pertiwiyusuf@gmail.com,137587042982,Frontend Developer,Unemployed,3-5 years,06/01/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9834107,Glints,checked,"['Kubernetes', 'AWS', 'Docker', 'Python']"
"Feb 06, 2025 @ 04:58 PM","Cut Titi Pradipta, M.Pd",Single,Female,Moslem,10/20/1999,"Gang Dr. Djunjunan No. 02, Solok, BE 56509",S1/D4,Sistem Informasi,Universitas Terbuka,rpuspasari@ud.web.id,261240467887,UI/UX Designer,Freelancer,1-3 years,06/06/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7819841,Instagram,checked,"['Figma', 'React', 'SQL', 'Kubernetes']"
"May 19, 2025 @ 03:27 PM",Adinata Samosir,Single,Female,Buddhist,02/22/1994,"Jalan Merdeka No. 616, Kupang, Nusa Tenggara Timur 43164",S1/D4,Teknik Informatika,Universitas Gadjah Mada,kenzieandriani@ud.sch.id,751720674392,IT Support,Fulltime,Fresh graduate,05/29/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9567176,Website,checked,"['Kubernetes', 'Node.js', 'Azure', 'Python', 'Networking', 'HTML']"
"Mar 09, 2025 @ 10:59 AM",Hj. Mutia Mahendra,Married,Female,Christian,04/15/2000,"Gg. HOS. Cokroaminoto No. 791, Sukabumi, KS 98308",S1/D4,Sistem Informasi,Universitas Gadjah Mada,ibunsaptono@ud.co.id,560412477468,Frontend Developer,Fulltime,3-5 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6808813,Glints,checked,"['SQL', 'Networking', 'Python', 'CSS']"
"Jan 19, 2025 @ 06:47 AM",Citra Puspasari,Single,Female,Christian,04/25/2004,"Jalan Tubagus Ismail No. 21, Padang Sidempuan, SB 99444",S2,Teknik Informatika,Universitas Indonesia,prayogasabrina@gmail.com,053973604239,Frontend Developer,Unemployed,Fresh graduate,05/17/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8051873,Indeed,checked,"['JavaScript', 'Azure', 'React', 'Networking']"
"Jan 20, 2025 @ 11:45 PM","Lukita Budiman, M.M.",Single,Male,Moslem,06/17/2003,"Jalan Pasir Koja No. 34, Lhokseumawe, Sulawesi Barat 07843",S2,Teknik Informatika,Universitas Terbuka,sitompulusyi@yahoo.com,731084027588,UI/UX Designer,Intern,Fresh graduate,05/13/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,8530484,Website,checked,"['Linux', 'React', 'AWS', 'Docker']"
"Mar 24, 2025 @ 03:10 AM",Tgk. Rahayu Andriani,Single,Female,Moslem,01/29/1992,"Jl. Surapati No. 07, Banjar, Nusa Tenggara Timur 44527",S2,Sistem Komputer,Universitas Gadjah Mada,digdaya79@yahoo.com,614027875084,Data Analyst,Unemployed,1-3 years,06/01/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7745730,Indeed,checked,"['JavaScript', 'AWS', 'Figma']"
"May 11, 2025 @ 02:03 AM",Emas Uwais,Single,Female,Christian,02/08/2001,"Jalan Ronggowarsito No. 9, Sungai Penuh, KU 66791",S1/D4,Sistem Informasi,Universitas Terbuka,jhalimah@yahoo.com,018591748415,DevOps Engineer,Unemployed,3-5 years,05/21/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9136830,Telegram Group,checked,"['CSS', 'Kubernetes', 'GCP', 'Docker', 'SQL']"
"Jan 22, 2025 @ 05:27 AM",Farah Mahendra,Single,Male,Catholic,10/05/2002,"Gang R.E Martadinata No. 9, Langsa, Kalimantan Barat 20922",S1/D4,Informatics,Universitas Terbuka,carla84@pt.my.id,331357393600,IT Support,Fulltime,More than 5 years,06/07/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9302357,Indeed,checked,"['Python', 'AWS', 'GCP', 'React']"
"Jan 21, 2025 @ 08:11 AM","Cut Vicky Gunawan, M.M.",Married,Female,Hindu,09/29/1998,"Jl. Raya Ujungberung No. 99, Batam, BT 91183",SMA/SMK,Teknik Komputer,Institut Teknologi Bandung,fujiatiyahya@hotmail.com,264097962042,DevOps Engineer,Intern,3-5 years,06/08/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4579836,Indeed,checked,"['Figma', 'AWS', 'Node.js']"
"May 04, 2025 @ 10:21 PM",Dadap Kuswandari,Single,Male,Buddhist,04/19/1994,"Gang H.J Maemunah No. 902, Madiun, Jambi 49784",S1/D4,Manajemen Informatika,Universitas Terbuka,rina16@pt.id,129027337735,Backend Developer,Intern,1-3 years,06/07/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7626231,Website,checked,"['AWS', 'CSS', 'SQL', 'Azure', 'Networking', 'React']"
"Apr 06, 2025 @ 01:27 PM",Zaenab Maulana,Single,Female,Moslem,02/26/1995,"Gg. Lembong No. 33, Bontang, SR 02619",S2,Manajemen Informatika,Universitas Gunadarma,lailasitompul@hotmail.com,481156394865,Data Analyst,Unemployed,More than 5 years,05/13/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4221422,Website,checked,"['HTML', 'CSS', 'React', 'Networking', 'Linux', 'JavaScript']"
"Feb 15, 2025 @ 10:50 PM","Widya Novitasari, S.Gz",Single,Female,Hindu,11/20/1995,"Jl. Merdeka No. 43, Bandar Lampung, Maluku 69487",S2,Informatics,Universitas Indonesia,jamaliahutapea@perum.edu,810650759916,Backend Developer,Freelancer,More than 5 years,06/08/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,6966966,Indeed,checked,"['HTML', 'Docker', 'GCP', 'JavaScript', 'SQL', 'Azure']"
"Jan 31, 2025 @ 08:18 AM",Caturangga Andriani,Single,Female,Christian,07/24/2002,"Jl. Rajawali Timur No. 335, Tangerang, SR 04012",D3,Teknik Informatika,Institut Teknologi Bandung,safitriusman@yahoo.com,498504769207,Backend Developer,Intern,3-5 years,05/22/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,http://ud.org/,8129912,Instagram,checked,"['Python', 'GCP', 'Figma', 'AWS', 'Linux']"
"Jun 11, 2025 @ 02:46 PM","Jagaraga Sitorus, S.Farm",Married,Male,Buddhist,08/24/1990,"Jl. Cikutra Timur No. 512, Tasikmalaya, SB 42878",S2,Teknik Informatika,Universitas Terbuka,tprakasa@hotmail.com,868053536118,Data Analyst,Freelancer,3-5 years,05/15/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,https://perum.web.id/,7538981,LinkedIn,checked,"['Azure', 'Node.js', 'SQL']"
"Mar 02, 2025 @ 12:15 PM",Bella Salahudin,Single,Female,Buddhist,04/02/1993,"Jl. Cikapayang No. 9, Cirebon, JK 58089",S2,Informatics,Universitas Bina Nusantara,legawamaryati@ud.go.id,044898173421,UI/UX Designer,Intern,1-3 years,05/27/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,4005476,Telegram Group,checked,"['Azure', 'Figma', 'Kubernetes', 'React', 'Node.js']"
"Jun 02, 2025 @ 07:01 AM","Wahyu Fujiati, M.TI.",Married,Male,Buddhist,04/14/1998,"Jalan S. Parman No. 061, Bau-Bau, PB 20708",S2,Manajemen Informatika,Universitas Gadjah Mada,elontampubolon@gmail.com,207712551839,Data Analyst,Fulltime,Fresh graduate,06/09/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,7781735,Telegram Group,checked,"['Node.js', 'HTML', 'Linux']"
"Jan 03, 2025 @ 03:00 PM",Jane Prasetya,Single,Female,Catholic,08/11/1999,"Jalan Sukabumi No. 194, Parepare, Sumatera Utara 20232",S1/D4,Sistem Informasi,Institut Teknologi Bandung,qorinuraini@gmail.com,140404957207,DevOps Engineer,Intern,More than 5 years,05/30/2025,,https://s2i.co.id/wp-content/uploads/forminator-dummycv.pdf,,9160945,Instagram,checked,"['Networking', 'Azure', 'HTML', 'SQL']"
